param n := 185;
param m := 9;

param A:
	1	2	        3	        4	        5	        6	        7	    8	        9 :=
1	1	0.024264947	0.773531457	0.260579065	132.8103569	59011.14652	358366	0.235470942	0.0055
2	1	0.100679464	0.536898258	0.228375286	104.6184137	63639.11395	358366	0.182644628	0.044939
3	1	0.047503782	0.899546826	0.278236915	41.41287116	61207.45853	358366	0.264937993	0.004582
4	1	0.052524938	0.547009203	0.239082969	85.23882878	52880.74992	358366	0.151291513	8.916667
5	1	0.051924799	0.436067281	0.26984127	5.928831035	42376.47134	358366	0.429577465	0.006079
6	1	0.032407407	0.348088919	0.212121212	26.55665948	42290.35458	358366	0.174242424	0.25
7	1	0.034983498	0.889124302	0.234496124	43.49746028	65593.59683	358366	0.166514181	0.896552
8	1	0.025239339	0.51333166	0.278195489	23.88942016	50576.83882	167802	0.158671587	0.021978
9	1	0	        0.278094344	0.259259259	5.288864279	42715.75541	167802	0.150943396	0.001689
10	1	0.043280182	0.554996747	0.254054054	22.16952253	57822.74381	409502	0.242950108	0.08871
11	1	0.056659308	0.894097644	0.301075269	30.79225213	56576.24432	409502	0.282608696	0.110169
12	1	0.078669088	0.408913525	0.244346549	266.1970208	76210.82529	409502	0.181533238	0.886282
13	1	0.113357353	0.245226937	0.219399538	58.49934425	70639.07086	409502	0.172718808	0.34626
14	1	0	        0.534167459	0.263157895	0.654076105	40689.15789	409502	0.175	    0.007018
15	1	0.040136699	0.801085412	0.243493604	31.31559491	60945.8434	409502	0.214217099	4.466667
16	1	0.019197952	0.384208398	0.231884058	1.196451325	43592.00318	409502	0.404907975	0.085526
17	1	0.037313433	0.455895268	0.239316239	30.10815174	48942.48411	314829	0.204081633	0.05988
18	1	0	        0.271176792	0.3125	    5.725992187	35049.40181	87577	0.057142857	0
19	1	0	        0.130707617	0.090909091	4.8	        40828.72928	87577	0.173913043	0
20	1	0	        0.19906925	0.307692308	9.966509596	36967.5134	87577	0.177419355	0
21	1	0	        0.047925527	0.142857143	15.65217391	33277.19298	87577	0.25	    0
22	1	0	        0.314069189	0.1	        2.620937547	37386.19868	87577	0.16	    0
23	1	0.011637573	0.674774893	0.358974359	101.1991773	41363.35325	85872	0.353535354	0.5
24	1	0.07860262	0.045582555	0.260869565	1.02150263	39308.2316	85872	0.3	        0.014778
25	1	0.07447877	0.386707732	0.224789916	193.1960669	60698.83609	570674	0.163559533	1.51634
26	1	0.144096774	0.225324245	0.260010678	206.9616323	80328.57488	570674	0.141317085	1
27	1	0.025998143	0.191019649	0.32	    22.77677007	44662.96949	357872	0.212765957	0.571429
28	1	0.032306536	0.119466998	0.254901961	12.67531895	41391.33904	357872	0.180555556	0.002568
29	1	0	0.234280616	0.277777778	8.041817451	39103.31687	110803	0.029411765	0
30	1	0	0.087432454	0.222222222	9.820839822	46124.42713	110803	0.195652174	0.014388
31	1	0.065550907	0.145813855	0.274193548	12.45077419	47988.36193	372559	0.24025974	0.036232
32	1	0.038425492	0.418038258	0.297297297	17.61022911	45038.11963	125292	0.149606299	0.01548
33	1	0	0.30402673	0.346153846	5.54568729	44660.0039	125292	0.137931034	0.017857
34	1	0	0.539576867	0.230769231	13.75680364	44166.55502	125292	0.181818182	0
35	1	0	0.438764642	0.142857143	18.30047882	40428.65279	262423.18	0.147058824	0.000143
36	1	0	0.420597934	0.260869565	6.47624734	42300.00674	262423.18	0.241935484	0
37	1	0.051764706	0.716787128	0.130434783	2.593582814	37995.82081	76390	0.338235294	0.049383
38	1	0	0.064860981	0.2	0.16781138	40951.68197	279351	0.126984127	0.032609
39	1	0.052265501	0.101546938	0.307420495	23.51858402	44391.90267	233325	0.187582563	0.196809
40	1	0.079707313	0.602298391	0.253717472	156.9615539	61200.39886	45462	0.251535296	7.590476
41	1	0	0.12801071	0.315789474	3.833006585	39577.07121	123481	0.127659574	0.006098
42	1	0.083797638	0.2426222	0.214209968	41.91952333	57625.43924	530870	0.172536043	4.601852
43	1	0.086611861	0.577840656	0.208494208	59.8470101	54595.6884	573831	0.195436508	0.028197
44	1	0.04551201	0.169714445	0.229299363	2.856308922	44015.65016	44444	0.189258312	0
45	1	0	0.12106064	0.409090909	1.072485736	36049.20972	44444	0.346153846	0.001018
46	1	0.059701493	0.12341633	0.193548387	10.47586047	44625.21404	44444	0.129032258	0.001688
47	1	0	0.111844792	0.173913043	5.709256132	38953.28858	44444	0.163265306	0.004914
48	1	0	0.192847304	0.333333333	1.254862593	43585.66961	44444	0.375	0
49	1	0.042462845	0.38905538	0.257142857	1.324056285	40184.43247	311424	0.132352941	0.000993
50	1	0.027001215	0.82159399	0.230566535	64.01828731	46505.86154	311424	0.244956772	0.082695
51	1	0.034750233	0.472357847	0.222036728	129.3086351	49800.33449	311424	0.165723525	0.090129
52	1	0.05463712	0.340535098	0.2265625	4.097905206	52777.3636	311424	0.253295669	0.026529
